S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10,computed_features,performance_label,risk_label,dropout_label,performance_overall,risk_score,dropout_score,23G31A1001,Arjun Menon,CSE,1,2,avg_marks=78;attendance=85;behavior=8.5,high,low,low.1,82.4,18.6,15.2,reg_number,student_id,name,email,department,year,semester,mentor_name,mentor_email,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,age,total_marks,attendance,cgpa,backlog_count,AGE
239.0,Sanjay Kumar,24G31B8215,sanjay.kumar906@gmail.com,CSE,2.0,4.0,Dr. Vikram Reddy,dr..vikram.reddy24@gmail.com,75.0,78.0,62.0,,0.0,0.0,0.0,0.0,30.0,91.0,77.0,84.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0,Suresh Kapoor,24G31A1410,suresh.kapoor754@gmail.com,CDS,2.0,3.0,Dr. Sanjay Joshi,dr..sanjay.joshi94@gmail.com,49.0,72.0,,0.0,0.0,0.0,0.0,0.0,29.0,100.0,68.0,67.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.0,Nisha Sinha,24G31A6256,nisha.sinha824@gmail.com,ECE,2.0,3.0,Dr. Sanjay Joshi,dr..sanjay.joshi77@gmail.com,86.0,83.0,,0.0,0.0,0.0,0.0,0.0,27.0,91.0,63.0,90.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.0,Ramesh Malhotra,24G31B6475,ramesh.malhotra657@gmail.com,EEE,2.0,3.0,Prof. Isha Mishra,prof..isha.mishra83@gmail.com,42.0,80.0,,0.0,0.0,0.0,0.0,0.0,10.0,116.0,61.0,40.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,Ananya Iyer,24G31B4105,ananya.iyer474@gmail.com,MECH,2.0,3.0,Dr. Nitin Verma,dr..nitin.verma77@gmail.com,72.0,94.0,,0.0,0.0,0.0,0.0,0.0,28.0,102.0,70.0,87.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.0,Diya Saxena,24G31B4981,diya.saxena848@gmail.com,CIVIL,2.0,4.0,Prof. Divya Srivastava,prof..divya.srivastava85@gmail.com,96.0,99.0,71.0,,0.0,0.0,0.0,0.0,25.0,116.0,91.0,76.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.0,Amit Gupta,24G31A9275,amit.gupta928@gmail.com,CSE(AI),2.0,4.0,Prof. Shreya Nair,prof..shreya.nair46@gmail.com,74.0,69.0,82.0,,0.0,0.0,0.0,0.0,26.0,99.0,69.0,78.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.0,Aditya Pillai,24G31A6457,aditya.pillai561@gmail.com,CSE,2.0,4.0,Dr. Rajesh Kumar,dr..rajesh.kumar16@gmail.com,41.0,49.0,82.0,,0.0,0.0,0.0,0.0,14.0,108.0,79.0,50.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0,Simran Bajaj,24G31B9707,simran.bajaj778@gmail.com,CDS,2.0,4.0,Prof. Priya Sharma,prof..priya.sharma26@gmail.com,87.0,71.0,84.0,,0.0,0.0,0.0,0.0,24.0,120.0,114.0,94.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.0,Ajay Iyer,24G31B2419,ajay.iyer426@gmail.com,ECE,2.0,4.0,Dr. Sanjay Joshi,dr..sanjay.joshi58@gmail.com,60.0,97.0,63.0,,0.0,0.0,0.0,0.0,29.0,110.0,106.0,66.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.0,Rahul Dutta,24G31A1721,rahul.dutta756@gmail.com,EEE,2.0,4.0,Prof. Ritika Malhotra,prof..ritika.malhotra35@gmail.com,78.0,62.0,61.0,,0.0,0.0,0.0,0.0,28.0,90.0,86.0,61.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,Kumar Das,24G31A7431,kumar.das154@gmail.com,MECH,2.0,4.0,Prof. Divya Srivastava,prof..divya.srivastava18@gmail.com,76.0,99.0,82.0,,0.0,0.0,0.0,0.0,22.0,94.0,66.0,63.0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.0,Harish Mishra,24G31A7619,harish.mishra165@gmail.com,CIVIL,2.0,3.0,Prof. Ritika Malhotra,prof..ritika.malhotra27@gmail.com,66.0,68.0,,0.0,0.0,0.0,0.0,0.0,19.0,93.0,72.0,70.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.0,Simran Agarwal,24G31B5586,simran.agarwal625@gmail.com,CSE,2.0,3.0,Dr. Harish Rao,dr..harish.rao30@gmail.com,89.0,50.0,,0.0,0.0,0.0,0.0,0.0,24.0,120.0,95.0,84.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.0,Varun Das,24G31A3858,varun.das553@gmail.com,CDS,2.0,3.0,Prof. Shreya Nair,prof..shreya.nair30@gmail.com,59.0,82.0,,0.0,0.0,0.0,0.0,0.0,24.0,116.0,47.0,76.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.0,Esha Bhat,24G31A7668,esha.bhat675@gmail.com,ECE,2.0,3.0,Prof. Priya Sharma,prof..priya.sharma49@gmail.com,55.0,74.0,,0.0,0.0,0.0,0.0,0.0,18.0,120.0,93.0,80.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,Deepak Bansal,24G31B7530,deepak.bansal766@gmail.com,EEE,2.0,4.0,Prof. Isha Mishra,prof..isha.mishra85@gmail.com,48.0,75.0,53.0,,0.0,0.0,0.0,0.0,26.0,85.0,55.0,86.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.0,Mohan Menon,24G31B5544,mohan.menon288@gmail.com,MECH,2.0,3.0,Prof. Meera Desai,prof..meera.desai27@gmail.com,66.0,84.0,,0.0,0.0,0.0,0.0,0.0,16.0,82.0,75.0,71.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.0,Mahesh Verma,24G31B9820,mahesh.verma766@gmail.com,CIVIL,2.0,4.0,Dr. Vikram Reddy,dr..vikram.reddy41@gmail.com,70.0,45.0,42.0,,0.0,0.0,0.0,0.0,13.0,115.0,96.0,62.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.0,Mohan Sinha,24G31A3261,mohan.sinha696@gmail.com,CSE(AI),2.0,4.0,Dr. Anil Singh,dr..anil.singh47@gmail.com,76.0,75.0,61.0,,0.0,0.0,0.0,0.0,30.0,107.0,99.0,63.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,Sneha Bajaj,24G31B9104,sneha.bajaj913@gmail.com,CSE,2.0,3.0,Dr. Sanjay Joshi,dr..sanjay.joshi89@gmail.com,45.0,70.0,,0.0,0.0,0.0,0.0,0.0,29.0,118.0,116.0,82.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262.0,Zara Joshi,24G31A5798,zara.joshi293@gmail.com,ECE,2.0,4.0,Dr. Harish Rao,dr..harish.rao84@gmail.com,95.0,71.0,63.0,,0.0,0.0,0.0,0.0,21.0,119.0,96.0,90.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263.0,Siddharth Sinha,24G31A9585,siddharth.sinha167@gmail.com,EEE,2.0,4.0,Dr. Rohan Kapoor,dr..rohan.kapoor30@gmail.com,82.0,66.0,56.0,,0.0,0.0,0.0,0.0,20.0,114.0,96.0,41.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.0,Diya Bajaj,24G31A1814,diya.bajaj239@gmail.com,MECH,2.0,4.0,Dr. Nitin Verma,dr..nitin.verma76@gmail.com,52.0,58.0,61.0,,0.0,0.0,0.0,0.0,22.0,107.0,102.0,58.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0,Rahul Menon,24G31A1024,rahul.menon553@gmail.com,CIVIL,2.0,4.0,Prof. Divya Srivastava,prof..divya.srivastava71@gmail.com,95.0,51.0,94.0,,0.0,0.0,0.0,0.0,13.0,81.0,61.0,45.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266.0,Karthik Dutta,24G31A4941,karthik.dutta603@gmail.com,CSE(AI),2.0,3.0,Prof. Priya Sharma,prof..priya.sharma55@gmail.com,67.0,74.0,,0.0,0.0,0.0,0.0,0.0,24.0,119.0,49.0,46.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267.0,Harsha Bhat,24G31B8523,harsha.bhat976@gmail.com,CSE,2.0,4.0,Prof. Kavya Pillai,prof..kavya.pillai89@gmail.com,83.0,63.0,76.0,,0.0,0.0,0.0,0.0,26.0,119.0,116.0,54.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.0,Siddharth Chatterjee,24G31B1772,siddharth.chatterjee290@gmail.com,CDS,2.0,4.0,Prof. Priya Sharma,prof..priya.sharma61@gmail.com,52.0,67.0,71.0,,0.0,0.0,0.0,0.0,20.0,82.0,64.0,59.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0,Meera Sharma,24G31A6364,meera.sharma795@gmail.com,ECE,2.0,3.0,Dr. Sanjay Joshi,dr..sanjay.joshi67@gmail.com,47.0,80.0,,0.0,0.0,0.0,0.0,0.0,10.0,114.0,92.0,81.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,Mohan Saxena,24G31A9143,mohan.saxena997@gmail.com,EEE,2.0,3.0,Dr. Rohan Kapoor,dr..rohan.kapoor17@gmail.com,99.0,84.0,,0.0,0.0,0.0,0.0,0.0,21.0,95.0,71.0,90.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.0,Ananya Sharma,24G31A3286,ananya.sharma681@gmail.com,MECH,2.0,4.0,Dr. Harish Rao,dr..harish.rao37@gmail.com,62.0,76.0,86.0,,0.0,0.0,0.0,0.0,23.0,117.0,101.0,87.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.0,Varun Nair,24G31B3316,varun.nair368@gmail.com,CIVIL,2.0,3.0,Dr. Harish Rao,dr..harish.rao46@gmail.com,73.0,51.0,,0.0,0.0,0.0,0.0,0.0,15.0,82.0,73.0,90.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.0,Kumar Kumar,24G31A7676,kumar.kumar342@gmail.com,CSE(AI),2.0,4.0,Dr. Harish Rao,dr..harish.rao23@gmail.com,71.0,56.0,42.0,,0.0,0.0,0.0,0.0,19.0,116.0,108.0,40.0,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274.0,Simran Singh,24G31A1129,simran.singh963@gmail.com,CSE,2.0,4.0,Dr. Vikram Reddy,dr..vikram.reddy89@gmail.com,71.0,89.0,63.0,,0.0,0.0,0.0,0.0,20.0,95.0,48.0,71.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.0,Ramesh Bhatnagar,24G31B3334,ramesh.bhatnagar493@gmail.com,CDS,2.0,3.0,Dr. Nitin Verma,dr..nitin.verma57@gmail.com,56.0,85.0,,0.0,0.0,0.0,0.0,0.0,13.0,117.0,79.0,62.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0,Aditya Singh,24G31B9518,aditya.singh732@gmail.com,ECE,2.0,4.0,Prof. Kavya Pillai,prof..kavya.pillai34@gmail.com,71.0,83.0,83.0,,0.0,0.0,0.0,0.0,11.0,87.0,77.0,89.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.0,Swati Chatterjee,24G31A4346,swati.chatterjee326@gmail.com,EEE,2.0,3.0,Prof. Ritika Malhotra,prof..ritika.malhotra66@gmail.com,79.0,76.0,,0.0,0.0,0.0,0.0,0.0,29.0,91.0,65.0,85.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.0,Ria Rao,24G31B6827,ria.rao160@gmail.com,MECH,2.0,3.0,Prof. Kavya Pillai,prof..kavya.pillai19@gmail.com,78.0,70.0,,0.0,0.0,0.0,0.0,0.0,25.0,105.0,42.0,82.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279.0,Isha Desai,24G31B8904,isha.desai236@gmail.com,CIVIL,2.0,4.0,Dr. Rohan Kapoor,dr..rohan.kapoor72@gmail.com,77.0,79.0,60.0,,0.0,0.0,0.0,0.0,26.0,90.0,68.0,63.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.0,Sanjay Nair,24G31B1858,sanjay.nair798@gmail.com,CSE(AI),2.0,4.0,Dr. Rohan Kapoor,dr..rohan.kapoor88@gmail.com,76.0,50.0,70.0,,0.0,0.0,0.0,0.0,14.0,111.0,86.0,41.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281.0,Vikram Rao,24G31A4774,vikram.rao293@gmail.com,CSE,2.0,3.0,Prof. Anjali Menon,prof..anjali.menon50@gmail.com,98.0,88.0,,0.0,0.0,0.0,0.0,0.0,19.0,118.0,107.0,82.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282.0,Karthik Sharma,24G31B3043,karthik.sharma213@gmail.com,CDS,2.0,3.0,Dr. Anil Singh,dr..anil.singh94@gmail.com,90.0,77.0,,0.0,0.0,0.0,0.0,0.0,21.0,80.0,36.0,42.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.0,Kriti Agarwal,24G31B1973,kriti.agarwal738@gmail.com,ECE,2.0,3.0,Dr. Rajesh Kumar,dr..rajesh.kumar89@gmail.com,64.0,67.0,,0.0,0.0,0.0,0.0,0.0,14.0,109.0,107.0,52.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284.0,Mahesh Pillai,24G31A8679,mahesh.pillai405@gmail.com,EEE,2.0,4.0,Prof. Kavya Pillai,prof..kavya.pillai54@gmail.com,88.0,90.0,77.0,,0.0,0.0,0.0,0.0,23.0,119.0,112.0,79.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.0,Aditya Singh,24G31A5089,aditya.singh672@gmail.com,MECH,2.0,4.0,Dr. Harish Rao,dr..harish.rao83@gmail.com,77.0,42.0,75.0,,0.0,0.0,0.0,0.0,17.0,87.0,51.0,75.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.0,Swati Bajaj,24G31B5082,swati.bajaj134@gmail.com,CIVIL,2.0,3.0,Prof. Isha Mishra,prof..isha.mishra95@gmail.com,68.0,62.0,,0.0,0.0,0.0,0.0,0.0,27.0,90.0,78.0,60.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287.0,Aditya Srivastava,24G31A6141,aditya.srivastava169@gmail.com,CSE(AI),2.0,3.0,Dr. Nitin Verma,dr..nitin.verma83@gmail.com,80.0,68.0,,0.0,0.0,0.0,0.0,0.0,23.0,98.0,87.0,85.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288.0,Amit Agarwal,24G31B5276,amit.agarwal983@gmail.com,CSE,2.0,4.0,Prof. Anjali Menon,prof..anjali.menon14@gmail.com,60.0,78.0,85.0,,0.0,0.0,0.0,0.0,28.0,86.0,81.0,64.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289.0,Harsha Das,24G31B9963,harsha.das162@gmail.com,CDS,2.0,4.0,Prof. Divya Srivastava,prof..divya.srivastava89@gmail.com,58.0,87.0,58.0,,0.0,0.0,0.0,0.0,12.0,83.0,44.0,48.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290.0,Amit Kapoor,24G31A9919,amit.kapoor722@gmail.com,ECE,2.0,4.0,Prof. Isha Mishra,prof..isha.mishra42@gmail.com,60.0,69.0,51.0,,0.0,0.0,0.0,0.0,27.0,80.0,65.0,82.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291.0,Deepak Iyer,24G31A8518,deepak.iyer482@gmail.com,EEE,2.0,4.0,Prof. Ritika Malhotra,prof..ritika.malhotra78@gmail.com,58.0,65.0,85.0,,0.0,0.0,0.0,0.0,14.0,110.0,45.0,40.0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292.0,Deepak Saxena,24G31A3762,deepak.saxena811@gmail.com,MECH,2.0,4.0,Dr. Nitin Verma,dr..nitin.verma35@gmail.com,87.0,96.0,78.0,,0.0,0.0,0.0,0.0,14.0,106.0,80.0,66.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.0,Deepak Chatterjee,24G31A6408,deepak.chatterjee894@gmail.com,CIVIL,2.0,4.0,Dr. Suresh Iyer,dr..suresh.iyer94@gmail.com,71.0,55.0,85.0,,0.0,0.0,0.0,0.0,26.0,110.0,107.0,51.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294.0,Esha Das,24G31B4017,esha.das557@gmail.com,CSE(AI),2.0,4.0,Dr. Vikram Reddy,dr..vikram.reddy95@gmail.com,76.0,87.0,98.0,,0.0,0.0,0.0,0.0,29.0,113.0,53.0,80.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295.0,Arjun Joshi,24G31B7548,arjun.joshi337@gmail.com,CSE,2.0,3.0,Prof. Ritika Malhotra,prof..ritika.malhotra98@gmail.com,97.0,58.0,,0.0,0.0,0.0,0.0,0.0,21.0,115.0,74.0,48.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296.0,Vikram Desai,24G31B1783,vikram.desai755@gmail.com,CDS,2.0,4.0,Prof. Ritika Malhotra,prof..ritika.malhotra11@gmail.com,74.0,60.0,85.0,,0.0,0.0,0.0,0.0,10.0,96.0,91.0,46.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297.0,Sneha Joshi,24G31A7678,sneha.joshi764@gmail.com,ECE,2.0,4.0,Dr. Anil Singh,dr..anil.singh25@gmail.com,81.0,70.0,70.0,,0.0,0.0,0.0,0.0,16.0,105.0,84.0,86.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.0,Vivek Mishra,24G31A8564,vivek.mishra177@gmail.com,EEE,2.0,4.0,Dr. Nitin Verma,dr..nitin.verma79@gmail.com,83.0,99.0,92.0,,0.0,0.0,0.0,0.0,30.0,118.0,98.0,86.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299.0,Vikram Sharma,24G31B6690,vikram.sharma225@gmail.com,MECH,2.0,3.0,Dr. Vikram Reddy,dr..vikram.reddy92@gmail.com,57.0,58.0,,0.0,0.0,0.0,0.0,0.0,10.0,81.0,45.0,82.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,Priya Bhatnagar,24G31A2797,priya.bhatnagar328@gmail.com,CIVIL,2.0,4.0,Dr. Rajesh Kumar,dr..rajesh.kumar16@gmail.com,88.0,95.0,64.0,,0.0,0.0,0.0,0.0,26.0,105.0,84.0,74.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301.0,Ramesh Srivastava,24G31B7631,ramesh.srivastava171@gmail.com,CSE(AI),2.0,3.0,Prof. Priya Sharma,prof..priya.sharma33@gmail.com,83.0,43.0,,0.0,0.0,0.0,0.0,0.0,27.0,87.0,67.0,51.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302.0,Mohan Patel,24G31A9325,mohan.patel644@gmail.com,CSE,2.0,3.0,Prof. Shreya Nair,prof..shreya.nair63@gmail.com,82.0,83.0,,0.0,0.0,0.0,0.0,0.0,21.0,120.0,102.0,72.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303.0,Bhavna Kumar,24G31A3754,bhavna.kumar945@gmail.com,CDS,2.0,4.0,Dr. Anil Singh,dr..anil.singh39@gmail.com,84.0,78.0,44.0,,0.0,0.0,0.0,0.0,21.0,100.0,91.0,60.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.0,Meera Rao,24G31B1083,meera.rao238@gmail.com,ECE,2.0,4.0,Prof. Kavya Pillai,prof..kavya.pillai77@gmail.com,50.0,79.0,91.0,,0.0,0.0,0.0,0.0,13.0,113.0,66.0,81.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.0,Mahesh Dasgupta,24G31A6895,mahesh.dasgupta155@gmail.com,EEE,2.0,3.0,Prof. Priya Sharma,prof..priya.sharma30@gmail.com,60.0,56.0,,0.0,0.0,0.0,0.0,0.0,27.0,119.0,49.0,44.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.0,Ashok Malhotra,25G31A9285,ashok.malhotra141@gmail.com,MECH,3.0,6.0,Dr. Anil Singh,dr..anil.singh85@gmail.com,44.0,71.0,81.0,84.0,60.0,0.0,0.0,0.0,15.0,90.0,67.0,84.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,Ananya Pillai,25G31A6759,ananya.pillai270@gmail.com,CIVIL,3.0,5.0,Dr. Anil Singh,dr..anil.singh64@gmail.com,82.0,69.0,72.0,83.0,,0.0,0.0,0.0,22.0,85.0,62.0,40.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308.0,Ravi Chopra,25G31A3546,ravi.chopra192@gmail.com,CSE(AI),3.0,5.0,Dr. Anil Singh,dr..anil.singh54@gmail.com,95.0,40.0,84.0,82.0,,0.0,0.0,0.0,19.0,89.0,83.0,45.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309.0,Celina Sinha,25G31A7149,celina.sinha880@gmail.com,CSE,3.0,6.0,Dr. Rohan Kapoor,dr..rohan.kapoor66@gmail.com,58.0,93.0,46.0,58.0,74.0,0.0,0.0,0.0,18.0,92.0,88.0,48.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.0,Vivek Pillai,25G31A8455,vivek.pillai858@gmail.com,CDS,3.0,5.0,Dr. Suresh Iyer,dr..suresh.iyer81@gmail.com,59.0,74.0,92.0,90.0,,0.0,0.0,0.0,26.0,96.0,92.0,95.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.0,Neha Iyer,25G31A1691,neha.iyer888@gmail.com,ECE,3.0,5.0,Dr. Harish Rao,dr..harish.rao73@gmail.com,91.0,71.0,79.0,81.0,,0.0,0.0,0.0,10.0,102.0,84.0,45.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0,Pooja Verma,25G31A1424,pooja.verma406@gmail.com,EEE,3.0,6.0,Dr. Suresh Iyer,dr..suresh.iyer72@gmail.com,62.0,58.0,70.0,79.0,97.0,0.0,0.0,0.0,17.0,108.0,99.0,89.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313.0,Diya Joshi,25G31A6726,diya.joshi358@gmail.com,MECH,3.0,5.0,Prof. Meera Desai,prof..meera.desai92@gmail.com,41.0,55.0,72.0,62.0,,0.0,0.0,0.0,18.0,115.0,98.0,71.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314.0,Maya Mishra,25G31A1356,maya.mishra701@gmail.com,CIVIL,3.0,6.0,Dr. Suresh Iyer,dr..suresh.iyer84@gmail.com,98.0,62.0,50.0,53.0,74.0,0.0,0.0,0.0,20.0,82.0,72.0,95.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315.0,Harish Nair,25G31A1958,harish.nair411@gmail.com,CSE(AI),3.0,5.0,Dr. Anil Singh,dr..anil.singh79@gmail.com,60.0,79.0,58.0,52.0,,0.0,0.0,0.0,14.0,119.0,108.0,94.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316.0,Arjun Dutta,25G31A3721,arjun.dutta849@gmail.com,CSE,3.0,6.0,Prof. Divya Srivastava,prof..divya.srivastava21@gmail.com,89.0,65.0,42.0,85.0,73.0,0.0,0.0,0.0,10.0,91.0,86.0,47.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317.0,Tanvi Kapoor,25G31A5164,tanvi.kapoor709@gmail.com,CDS,3.0,6.0,Dr. Rajesh Kumar,dr..rajesh.kumar22@gmail.com,57.0,77.0,64.0,64.0,86.0,0.0,0.0,0.0,26.0,109.0,73.0,79.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318.0,Ramesh Mishra,25G31A2087,ramesh.mishra360@gmail.com,ECE,3.0,6.0,Dr. Suresh Iyer,dr..suresh.iyer49@gmail.com,65.0,81.0,63.0,82.0,92.0,0.0,0.0,0.0,10.0,84.0,39.0,50.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319.0,Ashok Malhotra,25G31A3730,ashok.malhotra710@gmail.com,EEE,3.0,6.0,Prof. Isha Mishra,prof..isha.mishra41@gmail.com,43.0,62.0,41.0,86.0,68.0,0.0,0.0,0.0,12.0,83.0,72.0,74.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320.0,Mahesh Chatterjee,25G31A3445,mahesh.chatterjee853@gmail.com,MECH,3.0,5.0,Prof. Anjali Menon,prof..anjali.menon92@gmail.com,72.0,78.0,77.0,63.0,,0.0,0.0,0.0,12.0,97.0,45.0,90.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
