S.NO,NAME,RNO,EMAIL,DEPT,YEAR,SEM,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10
377,Karthik Iyer,25G31A5996,karthik.iyer337@gmail.com,CIVIL,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai62@gmail.com,82,80,66,64,97,,,10,81,75,88,2.2
378,Sneha Bajaj,25G31A5396,sneha.bajaj769@gmail.com,CSE(AI),3,3-2,6,Prof. Ritika Malhotra,prof..ritika.malhotra91@gmail.com,66,68,95,56,55,,,24,99,66,77,6.9
379,Pari Das,25G31A9854,pari.das926@gmail.com,CSE,3,3-1,5,Prof. Priya Sharma,prof..priya.sharma45@gmail.com,58,48,86,80,,,,23,99,88,93,1.5
380,Anjali Mishra,25G31A5104,anjali.mishra206@gmail.com,CDS,3,3-1,5,Dr. Nitin Verma,dr..nitin.verma52@gmail.com,76,84,55,55,,,,25,101,82,77,3.0
381,Esha Reddy,25G31A2375,esha.reddy465@gmail.com,ECE,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer80@gmail.com,44,45,67,73,67,,,26,118,76,74,5.6
382,Kavya Srivastava,25G31A3611,kavya.srivastava207@gmail.com,EEE,3,3-2,6,Dr. Anil Singh,dr..anil.singh94@gmail.com,83,56,49,62,45,,,13,112,60,69,7.9
383,Ananya Chopra,25G31A8312,ananya.chopra768@gmail.com,MECH,3,3-1,5,Prof. Divya Srivastava,prof..divya.srivastava54@gmail.com,76,53,48,79,,,,29,112,91,72,8.5
384,Arjun Gupta,25G31A9312,arjun.gupta403@gmail.com,CIVIL,3,3-1,5,Dr. Sanjay Joshi,dr..sanjay.joshi62@gmail.com,72,48,82,100,,,,15,90,48,70,5.4
385,Suresh Malhotra,25G31A9231,suresh.malhotra337@gmail.com,CSE(AI),3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar55@gmail.com,54,85,85,50,,,,26,111,76,46,1.1
386,Kriti Dasgupta,25G31B7685,kriti.dasgupta621@gmail.com,CSE,3,3-1,5,Prof. Kavya Pillai,prof..kavya.pillai53@gmail.com,70,74,64,79,,,,20,113,107,42,5.0
387,Swati Pillai,25G31A7646,swati.pillai872@gmail.com,CDS,3,3-1,5,Prof. Shreya Nair,prof..shreya.nair20@gmail.com,73,58,82,68,,,,29,96,85,76,2.0
388,Rahul Kumar,25G31A9630,rahul.kumar929@gmail.com,ECE,3,3-1,5,Dr. Rohan Kapoor,dr..rohan.kapoor44@gmail.com,56,75,90,88,,,,10,102,73,84,1.9
389,Rohan Bhatnagar,25G31B6829,rohan.bhatnagar659@gmail.com,EEE,3,3-2,6,Prof. Ritika Malhotra,prof..ritika.malhotra17@gmail.com,54,73,78,96,99,,,21,100,72,48,4.4
390,Celina Chopra,25G31A2259,celina.chopra214@gmail.com,MECH,3,3-2,6,Prof. Priya Sharma,prof..priya.sharma33@gmail.com,73,42,87,57,42,,,21,115,105,89,8.1
391,Mahesh Kapoor,25G31A3078,mahesh.kapoor823@gmail.com,CIVIL,3,3-1,5,Dr. Nitin Verma,dr..nitin.verma25@gmail.com,66,58,84,63,,,,16,117,112,83,2.3
392,Celina Desai,25G31A8746,celina.desai167@gmail.com,CSE(AI),3,3-2,6,Dr. Vikram Reddy,dr..vikram.reddy12@gmail.com,60,73,51,56,52,,,29,108,53,95,6.4
393,Ananya Mishra,25G31B5719,ananya.mishra807@gmail.com,CSE,3,3-2,6,Prof. Isha Mishra,prof..isha.mishra75@gmail.com,73,77,82,65,48,,,15,108,62,94,6.3
394,Harsha Dutta,25G31B2964,harsha.dutta692@gmail.com,CDS,3,3-1,5,Prof. Priya Sharma,prof..priya.sharma34@gmail.com,72,42,52,83,,,,11,81,79,80,7.7
395,Sneha Bajaj,25G31A8405,sneha.bajaj920@gmail.com,ECE,3,3-2,6,Dr. Nitin Verma,dr..nitin.verma62@gmail.com,75,64,53,68,91,,,24,85,34,53,5.4
396,Ashok Dutta,25G31B4131,ashok.dutta900@gmail.com,EEE,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer90@gmail.com,76,84,56,74,66,,,14,113,91,61,2.6
397,Mahesh Chopra,25G31A4904,mahesh.chopra338@gmail.com,MECH,3,3-2,6,Dr. Vikram Reddy,dr..vikram.reddy43@gmail.com,63,99,91,75,72,,,17,110,85,93,8.8
398,Kumar Kumar,25G31B7785,kumar.kumar222@gmail.com,CIVIL,3,3-2,6,Prof. Ritika Malhotra,prof..ritika.malhotra31@gmail.com,86,73,98,83,73,,,20,94,80,64,2.5
399,Pari Chatterjee,25G31B5767,pari.chatterjee972@gmail.com,CSE(AI),3,3-1,5,Prof. Kavya Pillai,prof..kavya.pillai95@gmail.com,79,41,47,66,,,,26,92,52,90,3.7
400,Swati Chatterjee,25G31A1519,swati.chatterjee555@gmail.com,CSE,3,3-1,5,Prof. Anjali Menon,prof..anjali.menon44@gmail.com,44,41,57,59,,,,24,95,91,86,6.0
401,Arjun Iyer,25G31A3465,arjun.iyer757@gmail.com,CDS,3,3-1,5,Dr. Harish Rao,dr..harish.rao55@gmail.com,71,56,81,58,,,,26,107,98,43,3.8
402,Mohan Sinha,25G31A4680,mohan.sinha657@gmail.com,ECE,3,3-1,5,Prof. Meera Desai,prof..meera.desai90@gmail.com,77,100,79,59,,,,23,116,96,94,3.9
403,Aarav Verma,25G31A4328,aarav.verma388@gmail.com,EEE,3,3-1,5,Dr. Rohan Kapoor,dr..rohan.kapoor36@gmail.com,66,93,63,56,,,,10,85,57,83,5.7
404,Avni Bajaj,25G31B8975,avni.bajaj712@gmail.com,MECH,3,3-1,5,Prof. Ritika Malhotra,prof..ritika.malhotra57@gmail.com,88,81,42,58,,,,26,89,53,65,3.5
405,Aditya Dutta,25G31B5652,aditya.dutta785@gmail.com,CIVIL,3,3-1,5,Prof. Divya Srivastava,prof..divya.srivastava61@gmail.com,63,59,47,99,,,,12,102,93,87,7.9
406,Pooja Chopra,25G31A2353,pooja.chopra720@gmail.com,CSE(AI),3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer43@gmail.com,92,74,65,82,62,,,14,93,62,52,8.7
407,Ananya Mishra,25G31B4445,ananya.mishra845@gmail.com,CSE,3,3-2,6,Dr. Sanjay Joshi,dr..sanjay.joshi40@gmail.com,73,55,47,83,47,,,15,102,100,63,2.9
408,Deepak Rao,25G31B2475,deepak.rao839@gmail.com,CDS,3,3-1,5,Prof. Isha Mishra,prof..isha.mishra80@gmail.com,96,71,84,82,,,,25,112,77,56,4.2
409,Ramesh Patel,25G31A7526,ramesh.patel932@gmail.com,ECE,3,3-1,5,Dr. Sanjay Joshi,dr..sanjay.joshi39@gmail.com,64,61,61,53,,,,16,89,51,77,9.5
410,Vivek Kapoor,25G31B8408,vivek.kapoor976@gmail.com,EEE,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer30@gmail.com,60,69,67,45,60,,,17,97,55,85,7.4
411,Esha Desai,25G31B8654,esha.desai665@gmail.com,MECH,3,3-1,5,Prof. Shreya Nair,prof..shreya.nair86@gmail.com,69,65,77,57,,,,16,99,55,92,1.1
412,Sakshi Nair,25G31A2317,sakshi.nair477@gmail.com,CIVIL,3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar61@gmail.com,42,84,74,93,,,,11,100,85,51,1.1
413,Ajay Patel,25G31A3279,ajay.patel865@gmail.com,CSE(AI),3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer78@gmail.com,81,87,43,87,79,,,13,80,40,88,6.5
414,Zara Dasgupta,25G31A3053,zara.dasgupta921@gmail.com,CSE,3,3-1,5,Prof. Ritika Malhotra,prof..ritika.malhotra83@gmail.com,57,50,60,46,,,,12,95,85,78,3.8
415,Harish Chopra,25G31A4672,harish.chopra397@gmail.com,CDS,3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar74@gmail.com,89,52,65,77,,,,14,81,62,82,4.4
416,Swati Kapoor,25G31B7730,swati.kapoor915@gmail.com,ECE,3,3-2,6,Prof. Priya Sharma,prof..priya.sharma74@gmail.com,63,84,75,84,82,,,25,108,100,71,2.4
417,Pooja Rao,25G31A7024,pooja.rao955@gmail.com,EEE,3,3-2,6,Prof. Ritika Malhotra,prof..ritika.malhotra90@gmail.com,46,73,82,55,68,,,17,102,51,90,6.5
418,Maya Menon,25G31B7942,maya.menon636@gmail.com,MECH,3,3-2,6,Dr. Harish Rao,dr..harish.rao61@gmail.com,88,90,64,68,92,,,10,86,77,68,6.7
419,Zara Dutta,25G31B2844,zara.dutta372@gmail.com,CIVIL,3,3-2,6,Dr. Vikram Reddy,dr..vikram.reddy78@gmail.com,52,60,47,72,52,,,10,95,94,80,5.0
420,Kriti Dasgupta,25G31A8797,kriti.dasgupta792@gmail.com,CSE(AI),3,3-2,6,Prof. Isha Mishra,prof..isha.mishra16@gmail.com,63,88,87,42,69,,,19,85,73,79,7.8
421,Kriti Sharma,26G31A5452,kriti.sharma173@gmail.com,CSE,4,4-2,8,Dr. Nitin Verma,dr..nitin.verma23@gmail.com,68,77,85,81,74,99,,16,118,106,64,5.4
422,Tanvi Sharma,26G31B7719,tanvi.sharma343@gmail.com,CDS,4,4-2,8,Prof. Anjali Menon,prof..anjali.menon10@gmail.com,77,84,82,82,94,85,,19,113,100,66,5.1
423,Vinod Joshi,26G31B6295,vinod.joshi597@gmail.com,ECE,4,4-1,7,Dr. Rajesh Kumar,dr..rajesh.kumar40@gmail.com,75,53,57,60,86,,,28,114,83,75,1.7
424,Rahul Sinha,26G31A4927,rahul.sinha462@gmail.com,EEE,4,4-2,8,Prof. Kavya Pillai,prof..kavya.pillai13@gmail.com,76,66,88,61,63,64,,24,106,95,57,3.3
425,Ashok Bhatnagar,26G31B3940,ashok.bhatnagar918@gmail.com,MECH,4,4-1,7,Prof. Priya Sharma,prof..priya.sharma89@gmail.com,53,58,76,74,59,,,28,103,89,53,3.8
426,Ananya Srivastava,26G31A5153,ananya.srivastava341@gmail.com,CIVIL,4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar21@gmail.com,75,72,41,48,87,40,,18,88,75,73,8.2
427,Sandeep Bansal,26G31B2163,sandeep.bansal786@gmail.com,CSE(AI),4,4-1,7,Prof. Isha Mishra,prof..isha.mishra75@gmail.com,70,81,56,85,99,,,29,101,92,76,3.6
428,Isha Nair,26G31B9972,isha.nair549@gmail.com,CSE,4,4-1,7,Dr. Sanjay Joshi,dr..sanjay.joshi13@gmail.com,41,68,69,77,61,,,21,103,82,71,5.1
429,Divya Iyer,26G31B8341,divya.iyer215@gmail.com,CDS,4,4-1,7,Dr. Vikram Reddy,dr..vikram.reddy40@gmail.com,60,91,50,76,45,,,25,116,106,82,8.8
430,Pooja Chatterjee,26G31A7355,pooja.chatterjee573@gmail.com,ECE,4,4-1,7,Dr. Anil Singh,dr..anil.singh94@gmail.com,51,72,96,79,57,,,20,80,72,58,3.6
431,Pooja Verma,26G31B4553,pooja.verma677@gmail.com,EEE,4,4-1,7,Dr. Anil Singh,dr..anil.singh57@gmail.com,94,78,80,97,49,,,18,106,92,78,1.5
432,Anjali Gupta,26G31B1585,anjali.gupta892@gmail.com,MECH,4,4-1,7,Dr. Suresh Iyer,dr..suresh.iyer76@gmail.com,64,71,82,71,78,,,30,95,67,94,3.1
433,Mohan Singh,26G31A3398,mohan.singh897@gmail.com,CIVIL,4,4-1,7,Dr. Rajesh Kumar,dr..rajesh.kumar66@gmail.com,48,66,79,82,82,,,12,119,118,75,5.1
434,Zara Patel,26G31A7439,zara.patel378@gmail.com,CSE(AI),4,4-1,7,Dr. Harish Rao,dr..harish.rao87@gmail.com,92,87,76,47,73,,,25,106,95,75,4.1
435,Rohan Sharma,26G31A4281,rohan.sharma494@gmail.com,CSE,4,4-1,7,Dr. Harish Rao,dr..harish.rao46@gmail.com,79,49,97,65,56,,,12,89,87,62,4.9
436,Vivek Rao,26G31B2850,vivek.rao752@gmail.com,CDS,4,4-2,8,Dr. Sanjay Joshi,dr..sanjay.joshi40@gmail.com,79,66,57,66,84,76,,19,107,70,62,1.5
437,Shreya Gupta,26G31A8770,shreya.gupta815@gmail.com,ECE,4,4-2,8,Prof. Shreya Nair,prof..shreya.nair88@gmail.com,60,74,40,74,54,73,,26,105,49,75,2.4
438,Aryan Kapoor,26G31A9180,aryan.kapoor997@gmail.com,EEE,4,4-1,7,Prof. Kavya Pillai,prof..kavya.pillai87@gmail.com,78,56,90,59,63,,,13,109,71,43,7.0
439,Sakshi Menon,26G31A4062,sakshi.menon265@gmail.com,MECH,4,4-1,7,Dr. Vikram Reddy,dr..vikram.reddy14@gmail.com,60,73,78,72,81,,,25,84,70,90,6.3
440,Deepak Reddy,26G31A2916,deepak.reddy323@gmail.com,CIVIL,4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar30@gmail.com,78,78,40,75,50,60,,22,87,34,44,7.6
441,Aditya Mishra,26G31A3460,aditya.mishra751@gmail.com,CSE(AI),4,4-1,7,Prof. Shreya Nair,prof..shreya.nair97@gmail.com,56,97,59,82,60,,,11,110,102,45,2.1
442,Vinod Kumar,26G31B3395,vinod.kumar652@gmail.com,CSE,4,4-2,8,Dr. Suresh Iyer,dr..suresh.iyer25@gmail.com,71,73,72,82,78,62,,10,104,75,81,9.8
443,Bhavna Nair,26G31A7704,bhavna.nair697@gmail.com,CDS,4,4-1,7,Prof. Meera Desai,prof..meera.desai49@gmail.com,82,75,83,73,73,,,21,112,101,93,3.0
444,Varun Bhatnagar,26G31B9220,varun.bhatnagar953@gmail.com,ECE,4,4-1,7,Dr. Anil Singh,dr..anil.singh15@gmail.com,69,68,60,57,80,,,18,98,58,95,4.9
445,Ravi Malhotra,26G31A3924,ravi.malhotra773@gmail.com,EEE,4,4-1,7,Prof. Ritika Malhotra,prof..ritika.malhotra48@gmail.com,67,83,75,70,58,,,28,98,92,57,4.3
446,Nikhil Mishra,26G31B8266,nikhil.mishra216@gmail.com,MECH,4,4-1,7,Dr. Harish Rao,dr..harish.rao74@gmail.com,70,61,64,82,77,,,19,103,103,73,7.4
447,Avni Rao,26G31A7284,avni.rao584@gmail.com,CIVIL,4,4-1,7,Dr. Rajesh Kumar,dr..rajesh.kumar32@gmail.com,67,95,70,77,76,,,11,108,49,81,6.6
448,Nitin Das,26G31B7831,nitin.das919@gmail.com,CSE(AI),4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar65@gmail.com,59,78,99,78,79,95,,26,115,110,85,2.0
449,Nikhil Patel,26G31A2601,nikhil.patel407@gmail.com,CSE,4,4-1,7,Prof. Ritika Malhotra,prof..ritika.malhotra41@gmail.com,77,75,48,85,85,,,18,102,77,81,8.7
450,Kavya Agarwal,26G31B2792,kavya.agarwal837@gmail.com,CDS,4,4-1,7,Prof. Kavya Pillai,prof..kavya.pillai83@gmail.com,81,75,41,82,60,,,30,95,56,92,1.1
451,Ria Nair,26G31A9041,ria.nair248@gmail.com,ECE,4,4-2,8,Prof. Anjali Menon,prof..anjali.menon62@gmail.com,88,63,78,62,94,74,,14,100,91,62,9.7
452,Nikhil Malhotra,26G31B9127,nikhil.malhotra439@gmail.com,EEE,4,4-1,7,Prof. Divya Srivastava,prof..divya.srivastava74@gmail.com,67,71,58,74,50,,,23,120,85,53,9.1
453,Aryan Iyer,26G31B2513,aryan.iyer339@gmail.com,MECH,4,4-1,7,Dr. Sanjay Joshi,dr..sanjay.joshi33@gmail.com,77,52,60,79,44,,,28,98,84,75,1.8
454,Divya Bansal,26G31B3338,divya.bansal724@gmail.com,CIVIL,4,4-2,8,Dr. Harish Rao,dr..harish.rao50@gmail.com,86,64,69,84,84,92,,28,102,92,78,5.0
455,Bhavna Agarwal,26G31A7749,bhavna.agarwal228@gmail.com,CSE(AI),4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar10@gmail.com,98,81,67,41,65,97,,27,80,75,91,4.7
456,Ria Menon,26G31B3883,ria.menon824@gmail.com,CSE,4,4-2,8,Dr. Suresh Iyer,dr..suresh.iyer46@gmail.com,83,87,54,67,59,56,,29,94,91,48,1.8
457,Priya Bhat,26G31B2892,priya.bhat937@gmail.com,CDS,4,4-1,7,Dr. Rajesh Kumar,dr..rajesh.kumar75@gmail.com,89,60,61,50,58,,,19,86,58,86,2.4
458,Sneha Patel,26G31B6683,sneha.patel404@gmail.com,ECE,4,4-1,7,Dr. Nitin Verma,dr..nitin.verma67@gmail.com,82,90,84,81,47,,,23,90,89,43,1.0
459,Ramesh Srivastava,26G31B9724,ramesh.srivastava518@gmail.com,EEE,4,4-2,8,Prof. Isha Mishra,prof..isha.mishra37@gmail.com,72,88,57,82,44,66,,17,91,85,92,2.3
460,Anjali Desai,26G31A4125,anjali.desai259@gmail.com,MECH,4,4-1,7,Prof. Kavya Pillai,prof..kavya.pillai66@gmail.com,54,71,55,60,78,,,13,81,59,95,8.1
461,Ajay Chatterjee,26G31A3588,ajay.chatterjee357@gmail.com,CIVIL,4,4-1,7,Prof. Isha Mishra,prof..isha.mishra31@gmail.com,100,88,60,72,82,,,30,98,81,89,5.2
462,Mahesh Reddy,26G31A5258,mahesh.reddy974@gmail.com,CSE(AI),4,4-2,8,Dr. Vikram Reddy,dr..vikram.reddy60@gmail.com,56,59,56,81,52,69,,11,119,101,83,7.3
463,Bhavna Malhotra,26G31A9091,bhavna.malhotra363@gmail.com,CSE,4,4-2,8,Prof. Meera Desai,prof..meera.desai63@gmail.com,71,46,68,67,72,64,,17,87,82,83,8.8
464,Nikhil Dasgupta,26G31B2641,nikhil.dasgupta862@gmail.com,CDS,4,4-1,7,Dr. Rohan Kapoor,dr..rohan.kapoor60@gmail.com,78,82,76,64,98,,,21,81,77,73,4.5
465,Celina Reddy,26G31A1181,celina.reddy754@gmail.com,ECE,4,4-2,8,Dr. Anil Singh,dr..anil.singh63@gmail.com,54,78,56,96,63,76,,18,98,64,59,7.6
466,Rohan Bajaj,26G31A1111,rohan.bajaj670@gmail.com,EEE,4,4-1,7,Dr. Vikram Reddy,dr..vikram.reddy56@gmail.com,57,56,42,78,77,,,24,80,71,42,4.4
467,Ananya Malhotra,26G31B7707,ananya.malhotra442@gmail.com,MECH,4,4-1,7,Prof. Ritika Malhotra,prof..ritika.malhotra61@gmail.com,40,100,73,80,76,,,13,80,36,81,4.0
468,Sneha Bajaj,26G31B1895,sneha.bajaj818@gmail.com,CIVIL,4,4-2,8,Dr. Vikram Reddy,dr..vikram.reddy66@gmail.com,85,47,96,48,83,84,,12,110,98,62,3.0
469,Vikram Gupta,26G31B8482,vikram.gupta503@gmail.com,CSE(AI),4,4-1,7,Dr. Harish Rao,dr..harish.rao76@gmail.com,85,59,71,88,82,,,24,90,48,63,5.7
470,Sandeep Menon,26G31A7198,sandeep.menon778@gmail.com,CSE,4,4-2,8,Dr. Sanjay Joshi,dr..sanjay.joshi91@gmail.com,85,46,100,52,80,57,,12,100,87,91,6.5
471,Anjali Sinha,26G31A8090,anjali.sinha700@gmail.com,CDS,4,4-2,8,Dr. Nitin Verma,dr..nitin.verma69@gmail.com,57,66,66,63,74,45,,14,92,87,79,1.6
472,Isha Srivastava,26G31A2909,isha.srivastava501@gmail.com,ECE,4,4-2,8,Dr. Harish Rao,dr..harish.rao41@gmail.com,78,82,75,64,52,56,,11,85,65,71,8.8
473,Deepak Srivastava,26G31A6743,deepak.srivastava262@gmail.com,EEE,4,4-1,7,Prof. Shreya Nair,prof..shreya.nair29@gmail.com,43,58,82,74,45,,,19,98,96,87,8.5
474,Amit Chatterjee,26G31B5807,amit.chatterjee987@gmail.com,MECH,4,4-2,8,Dr. Anil Singh,dr..anil.singh28@gmail.com,65,72,61,90,67,90,,17,80,62,94,9.8
475,Aarav Gupta,26G31A4046,aarav.gupta557@gmail.com,CIVIL,4,4-1,7,Prof. Priya Sharma,prof..priya.sharma59@gmail.com,82,66,51,91,90,,,11,107,82,86,1.7
476,Sakshi Saxena,26G31B3433,sakshi.saxena162@gmail.com,CSE(AI),4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar69@gmail.com,55,98,64,92,64,84,,22,116,110,61,5.8
477,Ananya Chatterjee,26G31A6473,ananya.chatterjee660@gmail.com,CSE,4,4-1,7,Dr. Rajesh Kumar,dr..rajesh.kumar89@gmail.com,91,61,76,88,94,,,30,95,72,40,7.5
478,Rajesh Saxena,26G31B6161,rajesh.saxena654@gmail.com,CDS,4,4-1,7,Prof. Meera Desai,prof..meera.desai53@gmail.com,47,45,77,72,56,,,30,119,59,80,3.1
479,Kavya Desai,26G31A6424,kavya.desai261@gmail.com,ECE,4,4-1,7,Dr. Rohan Kapoor,dr..rohan.kapoor69@gmail.com,80,61,84,88,98,,,24,105,72,57,6.4
480,Priya Dutta,26G31B5859,priya.dutta677@gmail.com,EEE,4,4-1,7,Prof. Divya Srivastava,prof..divya.srivastava52@gmail.com,78,89,72,63,57,,,25,108,59,40,6.4
481,Isha Rao,26G31B4658,isha.rao917@gmail.com,MECH,4,4-2,8,Dr. Sanjay Joshi,dr..sanjay.joshi57@gmail.com,81,82,58,63,79,62,,20,81,45,61,8.8
482,Karthik Agarwal,26G31A1255,karthik.agarwal563@gmail.com,CIVIL,4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar58@gmail.com,97,92,87,52,68,83,,20,113,100,55,5.4
483,Tanvi Kumar,26G31B6671,tanvi.kumar894@gmail.com,CSE(AI),4,4-1,7,Dr. Suresh Iyer,dr..suresh.iyer13@gmail.com,94,84,78,62,60,,,28,117,62,71,4.7
484,Pooja Dasgupta,26G31A3432,pooja.dasgupta351@gmail.com,CSE,4,4-1,7,Dr. Nitin Verma,dr..nitin.verma81@gmail.com,79,79,76,85,74,,,13,100,79,59,9.7
485,Ria Agarwal,26G31B3442,ria.agarwal542@gmail.com,CDS,4,4-1,7,Prof. Ritika Malhotra,prof..ritika.malhotra13@gmail.com,78,73,72,90,77,,,15,112,83,66,9.6
486,Aisha Menon,26G31A3138,aisha.menon130@gmail.com,ECE,4,4-1,7,Dr. Nitin Verma,dr..nitin.verma13@gmail.com,73,49,75,67,85,,,29,104,89,45,5.1
487,Kavya Bhatnagar,26G31B6213,kavya.bhatnagar491@gmail.com,EEE,4,4-1,7,Dr. Rohan Kapoor,dr..rohan.kapoor66@gmail.com,67,69,76,57,47,,,11,117,94,78,2.5
488,Deepak Chatterjee,26G31B9402,deepak.chatterjee447@gmail.com,MECH,4,4-1,7,Dr. Rohan Kapoor,dr..rohan.kapoor12@gmail.com,77,57,91,85,74,,,30,101,84,46,7.1
489,Harsha Sharma,26G31A8116,harsha.sharma338@gmail.com,CIVIL,4,4-1,7,Dr. Rajesh Kumar,dr..rajesh.kumar27@gmail.com,86,85,49,63,74,,,20,87,80,66,7.1
490,Kriti Singh,26G31B5963,kriti.singh968@gmail.com,CSE(AI),4,4-1,7,Dr. Suresh Iyer,dr..suresh.iyer58@gmail.com,88,78,73,85,70,,,29,101,70,52,7.0
491,Celina Joshi,26G31A1809,celina.joshi660@gmail.com,CSE,4,4-2,8,Prof. Divya Srivastava,prof..divya.srivastava81@gmail.com,56,70,57,55,85,80,,23,82,67,94,4.1
492,Anjali Reddy,26G31A7923,anjali.reddy429@gmail.com,CDS,4,4-2,8,Prof. Priya Sharma,prof..priya.sharma30@gmail.com,74,66,63,91,62,61,,28,92,86,74,4.1
493,Divya Mishra,26G31B2431,divya.mishra181@gmail.com,ECE,4,4-2,8,Dr. Sanjay Joshi,dr..sanjay.joshi64@gmail.com,45,58,74,82,85,74,,10,106,44,52,3.2
494,Mahesh Bajaj,26G31B3301,mahesh.bajaj502@gmail.com,EEE,4,4-2,8,Dr. Anil Singh,dr..anil.singh90@gmail.com,61,77,74,58,44,79,,18,100,77,55,5.3
495,Rahul Joshi,26G31B9725,rahul.joshi318@gmail.com,MECH,4,4-2,8,Prof. Anjali Menon,prof..anjali.menon40@gmail.com,69,75,65,69,85,46,,12,102,99,73,3.4
496,Mohan Srivastava,26G31B5514,mohan.srivastava379@gmail.com,CIVIL,4,4-1,7,Prof. Priya Sharma,prof..priya.sharma77@gmail.com,98,81,86,75,79,,,24,95,54,52,5.9
497,Bhavna Singh,26G31B7828,bhavna.singh323@gmail.com,CSE(AI),4,4-1,7,Prof. Isha Mishra,prof..isha.mishra41@gmail.com,72,75,54,77,72,,,27,112,95,90,5.1
498,Sandeep Sharma,26G31B5846,sandeep.sharma444@gmail.com,CSE,4,4-1,7,Dr. Anil Singh,dr..anil.singh48@gmail.com,78,79,45,92,59,,,24,104,84,78,6.7
499,Vikram Saxena,26G31B6450,vikram.saxena336@gmail.com,CDS,4,4-2,8,Dr. Sanjay Joshi,dr..sanjay.joshi70@gmail.com,57,59,62,43,78,67,,22,80,42,74,5.7
500,Ravi Rao,26G31B6305,ravi.rao512@gmail.com,ECE,4,4-1,7,Prof. Priya Sharma,prof..priya.sharma32@gmail.com,79,65,84,73,63,,,24,82,42,68,7.1
501,Siddharth Kapoor,23G31A3894,siddharth.kapoor488@gmail.com,EEE,1,1-1,1,Prof. Anjali Menon,prof..anjali.menon47@gmail.com,,,,,,,,17,87,59,50,8.0
502,Ajay Menon,23G31B7636,ajay.menon884@gmail.com,MECH,1,1-1,1,Dr. Nitin Verma,dr..nitin.verma55@gmail.com,,,,,,,,20,98,86,72,1.6
503,Rahul Iyer,23G31B2764,rahul.iyer740@gmail.com,CIVIL,1,1-2,2,Prof. Divya Srivastava,prof..divya.srivastava14@gmail.com,63,,,,,,,25,92,44,87,3.2
504,Rohan Singh,23G31B1619,rohan.singh856@gmail.com,CSE(AI),1,1-2,2,Dr. Nitin Verma,dr..nitin.verma57@gmail.com,80,,,,,,,27,89,71,90,7.6
505,Suresh Sinha,23G31A5554,suresh.sinha261@gmail.com,CSE,1,1-1,1,Dr. Rajesh Kumar,dr..rajesh.kumar38@gmail.com,,,,,,,,28,118,117,58,10.0
506,Suresh Bhat,23G31A7627,suresh.bhat214@gmail.com,CDS,1,1-1,1,Prof. Isha Mishra,prof..isha.mishra53@gmail.com,,,,,,,,17,118,113,88,1.4
507,Kriti Pillai,23G31A3337,kriti.pillai283@gmail.com,ECE,1,1-2,2,Dr. Rajesh Kumar,dr..rajesh.kumar89@gmail.com,87,,,,,,,18,84,41,51,7.2
508,Rajesh Saxena,23G31A1995,rajesh.saxena386@gmail.com,EEE,1,1-1,1,Prof. Ritika Malhotra,prof..ritika.malhotra43@gmail.com,,,,,,,,26,118,91,44,3.6
509,Swati Verma,23G31B5950,swati.verma660@gmail.com,MECH,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor19@gmail.com,58,,,,,,,14,84,77,81,4.1
510,Ashok Sharma,23G31B3187,ashok.sharma385@gmail.com,CIVIL,1,1-1,1,Prof. Isha Mishra,prof..isha.mishra41@gmail.com,,,,,,,,17,115,90,57,8.8
511,Ajay Desai,23G31B5097,ajay.desai234@gmail.com,CSE(AI),1,1-2,2,Prof. Anjali Menon,prof..anjali.menon86@gmail.com,76,,,,,,,20,111,44,45,9.2
512,Vivek Chopra,23G31B7260,vivek.chopra688@gmail.com,CSE,1,1-1,1,Dr. Rohan Kapoor,dr..rohan.kapoor38@gmail.com,,,,,,,,15,89,75,61,3.8
513,Zara Agarwal,23G31A3119,zara.agarwal270@gmail.com,CDS,1,1-1,1,Dr. Suresh Iyer,dr..suresh.iyer79@gmail.com,,,,,,,,12,87,51,72,1.5
514,Bhavna Menon,23G31B3100,bhavna.menon387@gmail.com,ECE,1,1-1,1,Prof. Shreya Nair,prof..shreya.nair96@gmail.com,,,,,,,,20,114,84,81,6.6
