S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10
862,Arjun Pillai,25G31B8550,arjun.pillai521@gmail.com,CSE,3,5,Dr. Vikram Reddy,dr..vikram.reddy47@gmail.com,59.0,67.0,56.0,99.0,,0.0,0.0,0.0,10,120,93.0,50,1.8
863,Amit Bhat,25G31A5323,amit.bhat569@gmail.com,CDS,3,5,Prof. Meera Desai,prof..meera.desai49@gmail.com,71.0,56.0,75.0,73.0,,0.0,0.0,0.0,25,113,96.0,48,7.0
864,Nikhil Reddy,25G31A8278,nikhil.reddy518@gmail.com,ECE,3,6,Prof. Shreya Nair,prof..shreya.nair33@gmail.com,68.0,66.0,73.0,41.0,98.0,0.0,0.0,0.0,18,91,70.0,68,9.6
865,Zara Dasgupta,25G31B6510,zara.dasgupta158@gmail.com,EEE,3,5,Dr. Suresh Iyer,dr..suresh.iyer50@gmail.com,76.0,51.0,90.0,76.0,,0.0,0.0,0.0,20,101,57.0,40,5.0
866,Nisha Srivastava,25G31B3633,nisha.srivastava921@gmail.com,MECH,3,5,Dr. Suresh Iyer,dr..suresh.iyer18@gmail.com,96.0,65.0,83.0,79.0,,0.0,0.0,0.0,22,99,57.0,57,9.1
867,Nikhil Srivastava,25G31B6192,nikhil.srivastava658@gmail.com,CIVIL,3,6,Prof. Divya Srivastava,prof..divya.srivastava29@gmail.com,68.0,89.0,61.0,78.0,74.0,0.0,0.0,0.0,29,106,84.0,43,3.9
868,Amit Bhatnagar,25G31B9842,amit.bhatnagar244@gmail.com,CSE(AI),3,5,Dr. Rajesh Kumar,dr..rajesh.kumar31@gmail.com,43.0,80.0,88.0,86.0,,0.0,0.0,0.0,16,114,102.0,58,7.8
869,Pooja Bajaj,25G31A5434,pooja.bajaj758@gmail.com,CSE,3,5,Dr. Sanjay Joshi,dr..sanjay.joshi45@gmail.com,64.0,68.0,85.0,94.0,,0.0,0.0,0.0,23,113,92.0,87,4.2
870,Priya Kapoor,25G31A1270,priya.kapoor435@gmail.com,CDS,3,5,Dr. Sanjay Joshi,dr..sanjay.joshi56@gmail.com,64.0,78.0,78.0,64.0,,0.0,0.0,0.0,23,82,70.0,40,4.1
871,Aisha Dasgupta,25G31B5565,aisha.dasgupta290@gmail.com,ECE,3,6,Dr. Rajesh Kumar,dr..rajesh.kumar78@gmail.com,56.0,58.0,69.0,59.0,75.0,0.0,0.0,0.0,18,114,89.0,57,4.5
872,Priya Saxena,25G31A3604,priya.saxena130@gmail.com,EEE,3,5,Dr. Suresh Iyer,dr..suresh.iyer23@gmail.com,80.0,48.0,84.0,57.0,,0.0,0.0,0.0,29,117,85.0,84,7.6
873,Aarav Bhat,25G31B8590,aarav.bhat621@gmail.com,MECH,3,6,Dr. Sanjay Joshi,dr..sanjay.joshi63@gmail.com,51.0,52.0,80.0,64.0,88.0,0.0,0.0,0.0,15,97,93.0,62,7.2
874,Esha Gupta,25G31B6089,esha.gupta678@gmail.com,CIVIL,3,5,Prof. Kavya Pillai,prof..kavya.pillai18@gmail.com,78.0,48.0,49.0,52.0,,0.0,0.0,0.0,29,83,81.0,86,3.2
875,Sakshi Das,25G31A2408,sakshi.das404@gmail.com,CSE(AI),3,5,Prof. Priya Sharma,prof..priya.sharma25@gmail.com,63.0,72.0,78.0,80.0,,0.0,0.0,0.0,11,118,90.0,94,3.4
876,Karthik Srivastava,25G31B4893,karthik.srivastava934@gmail.com,CSE,3,5,Dr. Vikram Reddy,dr..vikram.reddy23@gmail.com,66.0,84.0,84.0,83.0,,0.0,0.0,0.0,16,85,71.0,94,9.2
877,Ritika Bajaj,25G31A2222,ritika.bajaj506@gmail.com,CDS,3,6,Dr. Suresh Iyer,dr..suresh.iyer34@gmail.com,98.0,66.0,76.0,62.0,90.0,0.0,0.0,0.0,26,112,83.0,88,8.9
878,Harsha Nair,25G31A2507,harsha.nair613@gmail.com,ECE,3,6,Prof. Divya Srivastava,prof..divya.srivastava12@gmail.com,74.0,52.0,80.0,68.0,82.0,0.0,0.0,0.0,29,110,60.0,90,8.2
879,Ravi Malhotra,25G31B8316,ravi.malhotra196@gmail.com,EEE,3,5,Prof. Divya Srivastava,prof..divya.srivastava61@gmail.com,58.0,40.0,65.0,74.0,,0.0,0.0,0.0,26,103,73.0,62,5.1
880,Varun Singh,25G31B1983,varun.singh548@gmail.com,MECH,3,5,Prof. Meera Desai,prof..meera.desai32@gmail.com,60.0,70.0,56.0,82.0,,0.0,0.0,0.0,28,94,67.0,87,3.4
881,Aryan Reddy,25G31A5869,aryan.reddy735@gmail.com,CIVIL,3,6,Dr. Rohan Kapoor,dr..rohan.kapoor31@gmail.com,77.0,79.0,61.0,52.0,96.0,0.0,0.0,0.0,10,83,66.0,82,1.7
882,Priya Pillai,25G31A6924,priya.pillai764@gmail.com,CSE(AI),3,6,Prof. Anjali Menon,prof..anjali.menon87@gmail.com,68.0,93.0,78.0,75.0,71.0,0.0,0.0,0.0,10,113,98.0,71,9.6
883,Diya Chatterjee,25G31B5408,diya.chatterjee560@gmail.com,CSE,3,6,Prof. Isha Mishra,prof..isha.mishra97@gmail.com,60.0,99.0,62.0,71.0,65.0,0.0,0.0,0.0,11,84,62.0,58,9.7
884,Isha Kapoor,25G31B9034,isha.kapoor845@gmail.com,CDS,3,6,Prof. Isha Mishra,prof..isha.mishra64@gmail.com,53.0,93.0,83.0,81.0,73.0,0.0,0.0,0.0,27,99,97.0,64,7.0
885,Ananya Menon,25G31A8169,ananya.menon898@gmail.com,ECE,3,5,Dr. Rajesh Kumar,dr..rajesh.kumar81@gmail.com,64.0,69.0,85.0,67.0,,0.0,0.0,0.0,26,98,39.0,64,5.4
886,Harish Desai,25G31A2496,harish.desai650@gmail.com,EEE,3,6,Dr. Suresh Iyer,dr..suresh.iyer82@gmail.com,71.0,60.0,75.0,73.0,73.0,0.0,0.0,0.0,16,90,58.0,70,6.4
887,Rahul Bansal,25G31A1531,rahul.bansal412@gmail.com,MECH,3,6,Prof. Kavya Pillai,prof..kavya.pillai61@gmail.com,96.0,98.0,91.0,94.0,89.0,0.0,0.0,0.0,29,103,98.0,52,9.0
888,Vishal Das,25G31A7573,vishal.das742@gmail.com,CIVIL,3,5,Dr. Suresh Iyer,dr..suresh.iyer63@gmail.com,64.0,46.0,99.0,90.0,,0.0,0.0,0.0,29,95,70.0,56,4.8
889,Arjun Mishra,25G31A8921,arjun.mishra800@gmail.com,CSE(AI),3,5,Dr. Nitin Verma,dr..nitin.verma40@gmail.com,86.0,97.0,52.0,81.0,,0.0,0.0,0.0,22,95,81.0,65,5.1
890,Rajesh Chatterjee,25G31A5312,rajesh.chatterjee788@gmail.com,CSE,3,5,Dr. Sanjay Joshi,dr..sanjay.joshi20@gmail.com,51.0,93.0,80.0,69.0,,0.0,0.0,0.0,18,108,90.0,77,1.9
891,Maya Das,25G31A7706,maya.das412@gmail.com,CDS,3,5,Prof. Kavya Pillai,prof..kavya.pillai49@gmail.com,68.0,85.0,75.0,74.0,,0.0,0.0,0.0,27,94,68.0,70,1.1
892,Neha Singh,25G31B8110,neha.singh337@gmail.com,ECE,3,6,Prof. Anjali Menon,prof..anjali.menon42@gmail.com,74.0,67.0,72.0,77.0,70.0,0.0,0.0,0.0,13,120,96.0,82,9.4
893,Sneha Bansal,25G31A5336,sneha.bansal560@gmail.com,EEE,3,6,Dr. Suresh Iyer,dr..suresh.iyer72@gmail.com,46.0,45.0,69.0,45.0,86.0,0.0,0.0,0.0,27,120,57.0,94,8.6
894,Pari Malhotra,25G31A9413,pari.malhotra331@gmail.com,MECH,3,6,Dr. Rajesh Kumar,dr..rajesh.kumar31@gmail.com,72.0,82.0,64.0,91.0,83.0,0.0,0.0,0.0,19,93,73.0,59,8.8
895,Varun Sinha,25G31B3370,varun.sinha275@gmail.com,CIVIL,3,6,Prof. Kavya Pillai,prof..kavya.pillai65@gmail.com,61.0,81.0,75.0,67.0,61.0,0.0,0.0,0.0,10,104,54.0,87,8.6
896,Pooja Bhat,25G31B1234,pooja.bhat701@gmail.com,CSE(AI),3,6,Dr. Suresh Iyer,dr..suresh.iyer52@gmail.com,99.0,77.0,76.0,69.0,84.0,0.0,0.0,0.0,20,96,64.0,63,6.6
897,Kriti Iyer,25G31A4198,kriti.iyer683@gmail.com,CSE,3,5,Prof. Meera Desai,prof..meera.desai62@gmail.com,80.0,59.0,73.0,68.0,,0.0,0.0,0.0,22,85,83.0,76,3.6
898,Maya Verma,25G31B6719,maya.verma681@gmail.com,CDS,3,5,Prof. Anjali Menon,prof..anjali.menon99@gmail.com,72.0,96.0,72.0,53.0,,0.0,0.0,0.0,20,104,98.0,60,7.6
899,Rahul Chatterjee,25G31B4373,rahul.chatterjee201@gmail.com,ECE,3,5,Dr. Suresh Iyer,dr..suresh.iyer99@gmail.com,41.0,66.0,57.0,52.0,,0.0,0.0,0.0,11,105,58.0,75,1.4
900,Deepak Bajaj,25G31A9568,deepak.bajaj937@gmail.com,EEE,3,5,Dr. Rajesh Kumar,dr..rajesh.kumar57@gmail.com,64.0,74.0,65.0,60.0,,0.0,0.0,0.0,21,116,53.0,72,9.9
901,Esha Gupta,25G31A3310,esha.gupta649@gmail.com,MECH,3,6,Dr. Sanjay Joshi,dr..sanjay.joshi31@gmail.com,90.0,58.0,71.0,62.0,71.0,0.0,0.0,0.0,14,118,95.0,76,5.5
902,Nikhil Bhat,25G31A8769,nikhil.bhat764@gmail.com,CIVIL,3,6,Prof. Shreya Nair,prof..shreya.nair73@gmail.com,78.0,87.0,74.0,84.0,40.0,0.0,0.0,0.0,18,109,92.0,77,9.3
903,Deepak Patel,25G31A2938,deepak.patel407@gmail.com,CSE(AI),3,6,Dr. Sanjay Joshi,dr..sanjay.joshi42@gmail.com,45.0,78.0,92.0,61.0,73.0,0.0,0.0,0.0,15,82,69.0,74,8.9
904,Amit Chopra,25G31B9755,amit.chopra637@gmail.com,CSE,3,5,Prof. Meera Desai,prof..meera.desai92@gmail.com,64.0,96.0,80.0,81.0,,0.0,0.0,0.0,16,108,44.0,55,6.1
905,Anjali Bhat,25G31A3890,anjali.bhat505@gmail.com,CDS,3,5,Prof. Shreya Nair,prof..shreya.nair29@gmail.com,82.0,62.0,41.0,92.0,,0.0,0.0,0.0,17,116,90.0,83,4.0
906,Pooja Desai,25G31A2278,pooja.desai876@gmail.com,ECE,3,5,Dr. Nitin Verma,dr..nitin.verma78@gmail.com,49.0,92.0,50.0,60.0,,0.0,0.0,0.0,28,93,61.0,41,8.5
907,Vinod Bajaj,25G31B7318,vinod.bajaj117@gmail.com,EEE,3,6,Dr. Harish Rao,dr..harish.rao42@gmail.com,66.0,82.0,59.0,56.0,47.0,0.0,0.0,0.0,27,95,64.0,86,3.9
908,Aarav Kapoor,25G31A8357,aarav.kapoor297@gmail.com,MECH,3,6,Dr. Harish Rao,dr..harish.rao94@gmail.com,98.0,59.0,57.0,69.0,85.0,0.0,0.0,0.0,15,103,103.0,47,2.6
909,Sandeep Patel,25G31A1160,sandeep.patel393@gmail.com,CIVIL,3,5,Prof. Shreya Nair,prof..shreya.nair14@gmail.com,83.0,89.0,51.0,74.0,,0.0,0.0,0.0,22,120,89.0,57,6.3
910,Celina Kapoor,25G31A9997,celina.kapoor366@gmail.com,CSE(AI),3,6,Dr. Harish Rao,dr..harish.rao84@gmail.com,64.0,42.0,99.0,94.0,63.0,0.0,0.0,0.0,19,117,113.0,89,7.0
911,Kavya Dutta,25G31A9402,kavya.dutta928@gmail.com,CSE,3,5,Dr. Rajesh Kumar,dr..rajesh.kumar11@gmail.com,51.0,56.0,52.0,42.0,,0.0,0.0,0.0,19,103,75.0,44,4.6
912,Nisha Menon,25G31B8597,nisha.menon490@gmail.com,CDS,3,5,Prof. Divya Srivastava,prof..divya.srivastava13@gmail.com,72.0,80.0,71.0,63.0,,0.0,0.0,0.0,22,95,57.0,73,2.1
913,Ananya Menon,25G31B7884,ananya.menon609@gmail.com,ECE,3,5,Dr. Vikram Reddy,dr..vikram.reddy67@gmail.com,99.0,73.0,44.0,62.0,,0.0,0.0,0.0,24,84,77.0,71,3.1
914,Tanvi Iyer,25G31A4343,tanvi.iyer487@gmail.com,EEE,3,6,Dr. Nitin Verma,dr..nitin.verma30@gmail.com,64.0,92.0,73.0,70.0,80.0,0.0,0.0,0.0,29,113,111.0,77,6.4
915,Mohan Chopra,25G31B5162,mohan.chopra896@gmail.com,MECH,3,5,Prof. Ritika Malhotra,prof..ritika.malhotra40@gmail.com,72.0,56.0,88.0,74.0,,0.0,0.0,0.0,14,113,99.0,88,8.1
916,Ajay Agarwal,25G31B4473,ajay.agarwal737@gmail.com,CIVIL,3,6,Dr. Suresh Iyer,dr..suresh.iyer73@gmail.com,67.0,97.0,76.0,80.0,80.0,0.0,0.0,0.0,27,100,90.0,81,9.2
917,Arjun Reddy,25G31B1019,arjun.reddy214@gmail.com,CSE(AI),3,6,Dr. Nitin Verma,dr..nitin.verma89@gmail.com,64.0,78.0,62.0,75.0,93.0,0.0,0.0,0.0,30,94,84.0,45,1.4
918,Karthik Bhatnagar,25G31A3641,karthik.bhatnagar739@gmail.com,CSE,3,6,Dr. Suresh Iyer,dr..suresh.iyer48@gmail.com,84.0,62.0,90.0,76.0,58.0,0.0,0.0,0.0,20,107,87.0,46,2.0
919,Rajesh Saxena,25G31A5816,rajesh.saxena139@gmail.com,CDS,3,6,Prof. Shreya Nair,prof..shreya.nair44@gmail.com,74.0,68.0,81.0,64.0,67.0,0.0,0.0,0.0,10,111,99.0,71,8.4
920,Bhavna Chopra,25G31B5764,bhavna.chopra864@gmail.com,ECE,3,6,Prof. Ritika Malhotra,prof..ritika.malhotra58@gmail.com,61.0,83.0,75.0,77.0,72.0,0.0,0.0,0.0,15,104,42.0,89,3.4
921,Nisha Bajaj,26G31A1131,nisha.bajaj801@gmail.com,EEE,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar91@gmail.com,76.0,78.0,90.0,42.0,75.0,72.2,85.0,,29,86,73.0,92,3.8
922,Divya Mishra,26G31A6680,divya.mishra526@gmail.com,MECH,4,7,Dr. Nitin Verma,dr..nitin.verma57@gmail.com,61.0,70.0,95.0,66.0,81.0,74.6,,0.0,23,99,84.0,73,8.4
923,Harsha Desai,26G31B5774,harsha.desai639@gmail.com,CIVIL,4,8,Dr. Rohan Kapoor,dr..rohan.kapoor87@gmail.com,63.0,92.0,91.0,49.0,82.0,75.4,79.0,,20,88,62.0,86,7.6
924,Vikram Chatterjee,26G31A5723,vikram.chatterjee768@gmail.com,CSE(AI),4,7,Prof. Shreya Nair,prof..shreya.nair93@gmail.com,77.0,82.0,72.0,99.0,98.0,81.8,,0.0,28,89,87.0,52,7.2
925,Sneha Kumar,26G31B3355,sneha.kumar733@gmail.com,CSE,4,7,Prof. Divya Srivastava,prof..divya.srivastava50@gmail.com,74.0,80.0,72.0,83.0,97.0,81.2,,0.0,22,83,72.0,75,4.0
926,Ritika Chatterjee,26G31B8499,ritika.chatterjee662@gmail.com,CDS,4,8,Prof. Priya Sharma,prof..priya.sharma37@gmail.com,80.0,86.0,61.0,93.0,71.0,78.2,62.0,,11,94,63.0,50,5.9
927,Swati Sharma,26G31B4164,swati.sharma362@gmail.com,ECE,4,8,Dr. Anil Singh,dr..anil.singh28@gmail.com,57.0,61.0,85.0,78.0,83.0,72.8,82.0,,10,99,46.0,60,8.3
928,Avni Dutta,26G31A2483,avni.dutta469@gmail.com,EEE,4,8,Prof. Meera Desai,prof..meera.desai71@gmail.com,91.0,48.0,74.0,61.0,59.0,66.6,81.0,,13,118,104.0,63,5.2
929,Deepak Malhotra,26G31A8934,deepak.malhotra215@gmail.com,MECH,4,8,Prof. Divya Srivastava,prof..divya.srivastava63@gmail.com,67.0,78.0,72.0,75.0,55.0,69.4,58.0,,12,120,107.0,44,7.6
930,Amit Dasgupta,26G31B5582,amit.dasgupta696@gmail.com,CIVIL,4,7,Dr. Vikram Reddy,dr..vikram.reddy62@gmail.com,81.0,58.0,86.0,53.0,97.0,75.0,,0.0,15,95,86.0,41,9.6
931,Vinod Saxena,26G31A4847,vinod.saxena633@gmail.com,CSE(AI),4,8,Prof. Isha Mishra,prof..isha.mishra71@gmail.com,81.0,82.0,47.0,77.0,65.0,70.4,47.0,,27,95,48.0,82,6.5
932,Swati Saxena,26G31A4045,swati.saxena533@gmail.com,CSE,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar19@gmail.com,81.0,50.0,45.0,79.0,83.0,67.6,81.0,,30,117,110.0,58,3.7
933,Arjun Desai,26G31A5447,arjun.desai766@gmail.com,CDS,4,7,Prof. Anjali Menon,prof..anjali.menon48@gmail.com,55.0,99.0,45.0,56.0,56.0,62.4,,0.0,24,116,115.0,56,5.2
934,Nisha Chatterjee,26G31A1510,nisha.chatterjee933@gmail.com,ECE,4,8,Prof. Priya Sharma,prof..priya.sharma76@gmail.com,80.0,60.0,73.0,96.0,53.0,72.4,41.0,,15,99,49.0,92,8.5
935,Avni Bhatnagar,26G31B4636,avni.bhatnagar409@gmail.com,EEE,4,8,Prof. Meera Desai,prof..meera.desai18@gmail.com,74.0,40.0,93.0,83.0,86.0,75.2,78.0,,30,88,85.0,93,6.1
936,Kriti Desai,26G31A6303,kriti.desai737@gmail.com,MECH,4,7,Dr. Vikram Reddy,dr..vikram.reddy32@gmail.com,49.0,60.0,72.0,46.0,58.0,57.0,,0.0,22,84,73.0,72,9.5
937,Arjun Dutta,26G31A6582,arjun.dutta815@gmail.com,CIVIL,4,7,Prof. Kavya Pillai,prof..kavya.pillai25@gmail.com,64.0,56.0,78.0,87.0,66.0,70.2,,0.0,21,92,78.0,83,7.9
938,Aryan Joshi,26G31B8913,aryan.joshi516@gmail.com,CSE(AI),4,7,Prof. Anjali Menon,prof..anjali.menon41@gmail.com,95.0,61.0,65.0,51.0,69.0,68.2,,0.0,18,120,113.0,68,5.8
939,Ashok Bajaj,26G31A4583,ashok.bajaj173@gmail.com,CSE,4,7,Prof. Meera Desai,prof..meera.desai45@gmail.com,80.0,57.0,47.0,49.0,80.0,62.6,,0.0,17,90,68.0,72,7.7
940,Nikhil Mishra,26G31B7890,nikhil.mishra600@gmail.com,CDS,4,8,Prof. Isha Mishra,prof..isha.mishra52@gmail.com,81.0,77.0,80.0,78.0,75.0,78.2,69.0,,20,103,67.0,92,3.7
941,Rahul Saxena,26G31A5725,rahul.saxena772@gmail.com,ECE,4,7,Prof. Ritika Malhotra,prof..ritika.malhotra19@gmail.com,73.0,73.0,72.0,73.0,74.0,73.0,,0.0,18,111,76.0,77,9.5
942,Harish Pillai,26G31A6817,harish.pillai915@gmail.com,EEE,4,8,Dr. Rohan Kapoor,dr..rohan.kapoor40@gmail.com,56.0,70.0,46.0,49.0,58.0,55.8,82.0,,27,85,73.0,42,2.3
943,Ajay Kumar,26G31B1033,ajay.kumar791@gmail.com,MECH,4,7,Dr. Sanjay Joshi,dr..sanjay.joshi13@gmail.com,64.0,89.0,73.0,62.0,64.0,70.4,,0.0,28,95,45.0,41,6.9
944,Swati Rao,26G31B9259,swati.rao271@gmail.com,CIVIL,4,7,Prof. Kavya Pillai,prof..kavya.pillai91@gmail.com,65.0,91.0,78.0,59.0,52.0,69.0,,0.0,23,99,81.0,80,6.9
945,Ritika Mishra,26G31B9996,ritika.mishra867@gmail.com,CSE(AI),4,8,Dr. Harish Rao,dr..harish.rao46@gmail.com,84.0,80.0,72.0,77.0,75.0,77.6,42.0,,23,118,103.0,80,7.4
946,Mahesh Sinha,26G31A5324,mahesh.sinha878@gmail.com,CSE,4,8,Prof. Anjali Menon,prof..anjali.menon66@gmail.com,72.0,73.0,51.0,84.0,85.0,73.0,66.0,,11,109,101.0,66,1.1
947,Priya Menon,26G31A4959,priya.menon167@gmail.com,CDS,4,8,Prof. Anjali Menon,prof..anjali.menon15@gmail.com,85.0,81.0,54.0,67.0,81.0,73.6,83.0,,21,92,43.0,48,5.7
948,Harsha Srivastava,26G31B3055,harsha.srivastava611@gmail.com,ECE,4,8,Prof. Isha Mishra,prof..isha.mishra32@gmail.com,61.0,96.0,63.0,42.0,51.0,62.6,69.0,,27,120,68.0,68,1.3
949,Ananya Pillai,26G31B3328,ananya.pillai728@gmail.com,EEE,4,7,Prof. Priya Sharma,prof..priya.sharma65@gmail.com,99.0,74.0,68.0,76.0,73.0,78.0,,0.0,24,115,90.0,95,3.6
950,Anjali Srivastava,26G31A5160,anjali.srivastava351@gmail.com,MECH,4,8,Prof. Kavya Pillai,prof..kavya.pillai37@gmail.com,47.0,86.0,78.0,41.0,45.0,59.4,61.0,,19,97,66.0,41,4.6
951,Vivek Dutta,26G31A5687,vivek.dutta790@gmail.com,CIVIL,4,8,Dr. Rohan Kapoor,dr..rohan.kapoor80@gmail.com,86.0,99.0,78.0,73.0,87.0,81.8,72.0,,17,100,90.0,45,3.2
952,Varun Agarwal,26G31A1317,varun.agarwal565@gmail.com,CSE(AI),4,8,Prof. Anjali Menon,prof..anjali.menon82@gmail.com,42.0,87.0,70.0,66.0,61.0,65.2,92.0,,15,81,78.0,87,4.3
953,Ria Iyer,26G31A4507,ria.iyer292@gmail.com,CSE,4,8,Prof. Divya Srivastava,prof..divya.srivastava42@gmail.com,79.0,74.0,95.0,55.0,57.0,72.0,76.0,,13,91,91.0,54,3.7
954,Diya Chatterjee,26G31A6553,diya.chatterjee373@gmail.com,CDS,4,8,Dr. Rohan Kapoor,dr..rohan.kapoor72@gmail.com,70.0,80.0,91.0,97.0,71.0,81.8,77.0,,24,83,57.0,74,4.1
955,Zara Rao,26G31B9767,zara.rao957@gmail.com,ECE,4,7,Prof. Divya Srivastava,prof..divya.srivastava52@gmail.com,80.0,88.0,54.0,95.0,74.0,78.2,,0.0,29,97,92.0,41,4.4
956,Sneha Mishra,26G31B6893,sneha.mishra680@gmail.com,EEE,4,8,Prof. Isha Mishra,prof..isha.mishra43@gmail.com,84.0,53.0,82.0,74.0,72.0,73.0,58.0,,17,100,93.0,46,8.7
957,Varun Kapoor,26G31A3725,varun.kapoor904@gmail.com,MECH,4,8,Prof. Priya Sharma,prof..priya.sharma24@gmail.com,68.0,63.0,77.0,40.0,76.0,64.8,58.0,,26,91,88.0,53,6.8
958,Ria Das,26G31B6951,ria.das933@gmail.com,CIVIL,4,8,Dr. Anil Singh,dr..anil.singh69@gmail.com,61.0,65.0,57.0,68.0,73.0,64.8,60.0,,11,107,89.0,89,7.4
959,Rohan Chatterjee,26G31A7452,rohan.chatterjee147@gmail.com,CSE(AI),4,7,Dr. Suresh Iyer,dr..suresh.iyer45@gmail.com,56.0,71.0,66.0,60.0,83.0,67.2,,0.0,18,101,93.0,62,3.2
960,Rajesh Das,26G31A9280,rajesh.das370@gmail.com,CSE,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar81@gmail.com,81.0,83.0,51.0,53.0,73.0,68.2,92.0,,20,113,58.0,76,2.4
961,Kavya Bhatnagar,26G31B5430,kavya.bhatnagar192@gmail.com,CDS,4,8,Prof. Priya Sharma,prof..priya.sharma80@gmail.com,75.0,76.0,49.0,83.0,67.0,70.0,72.0,,14,100,75.0,74,1.6
962,Pooja Gupta,26G31B3858,pooja.gupta940@gmail.com,ECE,4,7,Dr. Sanjay Joshi,dr..sanjay.joshi21@gmail.com,98.0,69.0,69.0,72.0,42.0,70.0,,0.0,22,104,74.0,45,3.1
963,Anjali Dasgupta,26G31B9868,anjali.dasgupta720@gmail.com,EEE,4,8,Dr. Nitin Verma,dr..nitin.verma67@gmail.com,71.0,82.0,47.0,83.0,93.0,75.2,66.0,,18,105,92.0,73,6.5
964,Sanjay Bhat,26G31B4958,sanjay.bhat677@gmail.com,MECH,4,8,Dr. Rohan Kapoor,dr..rohan.kapoor57@gmail.com,80.0,92.0,54.0,83.0,67.0,75.2,81.0,,23,85,61.0,49,8.9
965,Aarav Srivastava,26G31B6572,aarav.srivastava560@gmail.com,CIVIL,4,8,Prof. Anjali Menon,prof..anjali.menon88@gmail.com,89.0,89.0,60.0,56.0,79.0,74.6,77.0,,12,90,69.0,76,6.0
966,Zara Chopra,26G31A6743,zara.chopra519@gmail.com,CSE(AI),4,8,Dr. Anil Singh,dr..anil.singh91@gmail.com,69.0,79.0,72.0,79.0,96.0,79.0,76.0,,26,89,44.0,68,5.6
967,Rajesh Sinha,26G31A4028,rajesh.sinha153@gmail.com,CSE,4,8,Dr. Sanjay Joshi,dr..sanjay.joshi99@gmail.com,79.0,57.0,68.0,70.0,45.0,63.8,81.0,,15,97,68.0,93,4.0
968,Nikhil Kumar,26G31B3554,nikhil.kumar272@gmail.com,CDS,4,7,Dr. Vikram Reddy,dr..vikram.reddy80@gmail.com,71.0,47.0,57.0,94.0,56.0,65.0,,0.0,10,91,81.0,84,5.2
969,Sandeep Joshi,26G31B8384,sandeep.joshi807@gmail.com,ECE,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar28@gmail.com,85.0,67.0,80.0,99.0,98.0,81.8,84.0,,12,103,81.0,45,6.9
970,Varun Chopra,26G31B2761,varun.chopra125@gmail.com,EEE,4,7,Prof. Priya Sharma,prof..priya.sharma97@gmail.com,70.0,70.0,85.0,66.0,75.0,73.2,,0.0,12,114,88.0,42,8.9
971,Amit Srivastava,26G31A7991,amit.srivastava979@gmail.com,MECH,4,7,Dr. Sanjay Joshi,dr..sanjay.joshi88@gmail.com,79.0,71.0,79.0,61.0,98.0,77.8,,0.0,20,115,92.0,43,8.6
972,Sakshi Kapoor,26G31A1155,sakshi.kapoor385@gmail.com,CIVIL,4,7,Prof. Ritika Malhotra,prof..ritika.malhotra17@gmail.com,94.0,57.0,90.0,79.0,73.0,78.6,,0.0,26,113,100.0,43,4.4
973,Siddharth Nair,26G31A8454,siddharth.nair337@gmail.com,CSE(AI),4,7,Dr. Anil Singh,dr..anil.singh21@gmail.com,84.0,70.0,82.0,43.0,74.0,70.6,,0.0,24,116,75.0,58,3.1
974,Ritika Bajaj,26G31B9975,ritika.bajaj793@gmail.com,CSE,4,8,Prof. Isha Mishra,prof..isha.mishra45@gmail.com,61.0,76.0,76.0,52.0,62.0,65.4,80.0,,11,89,63.0,82,8.6
975,Amit Reddy,26G31B1188,amit.reddy385@gmail.com,CDS,4,7,Dr. Anil Singh,dr..anil.singh75@gmail.com,72.0,63.0,76.0,75.0,51.0,67.4,,0.0,13,90,47.0,61,4.6
976,Zara Rao,26G31B2894,zara.rao429@gmail.com,ECE,4,7,Prof. Anjali Menon,prof..anjali.menon76@gmail.com,78.0,99.0,83.0,40.0,72.0,74.6,,0.0,21,108,84.0,65,8.7
977,Ajay Reddy,26G31A4590,ajay.reddy301@gmail.com,EEE,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar87@gmail.com,79.0,62.0,65.0,78.0,56.0,68.0,73.0,,20,104,82.0,87,4.4
978,Meera Sharma,26G31B6912,meera.sharma934@gmail.com,MECH,4,7,Dr. Rajesh Kumar,dr..rajesh.kumar54@gmail.com,72.0,82.0,83.0,78.0,79.0,78.8,,0.0,25,115,104.0,79,5.2
979,Tanvi Dutta,26G31A5628,tanvi.dutta136@gmail.com,CIVIL,4,7,Dr. Suresh Iyer,dr..suresh.iyer65@gmail.com,72.0,74.0,78.0,67.0,51.0,68.4,,0.0,12,92,88.0,41,5.9
980,Rohan Mishra,26G31A6061,rohan.mishra279@gmail.com,CSE(AI),4,8,Dr. Rohan Kapoor,dr..rohan.kapoor15@gmail.com,79.0,64.0,79.0,90.0,55.0,73.4,92.0,,24,90,84.0,95,5.1
